HyMap
; Estimated on October 27, 2009

ndim               126
aperture          25.0
ifov              2.50
nbits               12
elfnfac              0
lwir                 0


;Pixel      W/lgth          BW         opt        qntm         LSB       NOISE         opt
;No.          [um]        [um]       trans         eff       [e's]       Fixed     degrade
 112      2.283100    0.018300    0.500000    0.600000        50.0       150.0         1.0
 113      2.300600    0.017500    0.500000    0.600000        50.0       150.0         1.0
 114      2.317600    0.017000    0.500000    0.600000        50.0       150.0         1.0
 115      2.334500    0.016800    0.500000    0.600000        50.0       150.0         1.0
 116      2.351100    0.016800    0.500000    0.600000        50.0       150.0         1.0
 117      2.367600    0.016900    0.500000    0.600000        50.0       150.0         1.0
 118      2.384400    0.016900    0.500000    0.600000        50.0       150.0         1.0
 119      2.401100    0.017000    0.500000    0.600000        50.0       150.0         1.0
 120      2.417700    0.016600    0.500000    0.600000        50.0       150.0         1.0
 121      2.433700    0.016600    0.500000    0.600000        50.0       150.0         1.0
 122      2.449600    0.016200    0.500000    0.600000        50.0       150.0         1.0
 123      2.465300    0.015900    0.500000    0.600000        50.0       150.0         1.0
 124      2.480900    0.016100    0.500000    0.600000        50.0       150.0         1.0
 125      2.496300    0.014600    0.500000    0.600000        50.0       150.0         1.0
